exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp1,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13973364595094018,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp2,42,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13011400385346153,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp3,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.12614104718484725,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp4,123,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11881954572208728,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp5,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13127919977690608,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp6,456,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11923938457746387,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp7,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.12219363339729364,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp8,789,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13404622990453488,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp9,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1130386489311945,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp10,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.12104499533675289,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp11,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.13045529951532703,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp12,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1358131660704782,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp13,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11146360416323808,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp14,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.10344771121492688,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp15,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.119712131491176,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp16,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11348148145112817,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp17,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.14608946465304096,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp18,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.14104449923768325,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp19,6000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.10167214921728246,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp20,6000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09116869793213837,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp21,42,timm/efficientvit_m2.r224_in1k,32,3,-0.14692994831168624,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp22,42,timm/efficientvit_m2.r224_in1k,32,3,-0.16097192420551926,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp23,123,timm/efficientvit_m2.r224_in1k,32,3,-0.12126233801806979,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp24,123,timm/efficientvit_m2.r224_in1k,32,3,-0.13765061624018432,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp25,456,timm/efficientvit_m2.r224_in1k,32,3,-0.11583664015975938,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp26,456,timm/efficientvit_m2.r224_in1k,32,3,-0.10802333822238662,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp27,789,timm/efficientvit_m2.r224_in1k,32,3,-0.18402581456556372,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp28,789,timm/efficientvit_m2.r224_in1k,32,3,-0.19138238024850818,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp29,1000,timm/efficientvit_m2.r224_in1k,32,3,-0.20914720354621455,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp30,1000,timm/efficientvit_m2.r224_in1k,32,3,-0.1972489299039951,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp31,2000,timm/efficientvit_m2.r224_in1k,32,3,-0.1406556800104752,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp32,2000,timm/efficientvit_m2.r224_in1k,32,3,-0.1533422703582921,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp33,3000,timm/efficientvit_m2.r224_in1k,32,3,-0.13035318932428147,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp34,3000,timm/efficientvit_m2.r224_in1k,32,3,-0.114195327825197,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp35,4000,timm/efficientvit_m2.r224_in1k,32,3,-0.1351474273576355,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp36,4000,timm/efficientvit_m2.r224_in1k,32,3,-0.13833353998439535,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp37,5000,timm/efficientvit_m2.r224_in1k,32,3,-0.1580708371923415,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp38,5000,timm/efficientvit_m2.r224_in1k,32,3,-0.18594986666265897,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp39,6000,timm/efficientvit_m2.r224_in1k,32,3,-0.16301692792911682,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp40,6000,timm/efficientvit_m2.r224_in1k,32,3,-0.1353619472704587,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp41,42,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.10068667657510527,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp42,42,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.1158204478847682,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp43,123,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.090939660329475,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp44,123,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.09001467729057532,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp45,456,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.13289769946143098,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
exp46,456,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.12557695555213366,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17373685019601182,-0.17377586310535606
exp47,789,timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,32,3,-0.14399175090633595,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/shoclo_T-boost/ShoesCloth_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,T_proxy,sharpness_ave,-0.17356086779972663,-0.17350612664431742
